Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-04-16,174.300003,177.279999,172.899994,177.039993,174.202438,50479600,1.57
2020-04-17,179.500000,180.000000,175.869995,178.600006,175.737442,52765600,-0.5
2020-04-20,176.630005,178.750000,174.990005,175.059998,172.254166,36669600,-0.89
2020-04-21,173.500000,173.669998,166.110001,167.820007,165.130219,56203700,-3.27
2020-04-22,171.389999,174.000000,170.820007,173.520004,170.738892,34620200,1.24
2020-04-23,174.110001,175.059998,170.910004,171.419998,168.672501,32790800,-1.55
2020-04-24,172.059998,174.559998,170.710007,174.550003,171.752350,34277600,1.45
2020-04-27,176.589996,176.899994,173.300003,174.050003,171.260376,33194400,-1.44
2020-04-28,175.589996,175.669998,169.389999,169.809998,167.088303,34392700,-3.29
2020-04-29,173.220001,177.679993,171.880005,177.429993,174.586197,51286600,2.43
2020-04-30,180.000000,180.399994,176.229996,179.210007,176.337662,53875900,-0.44
2020-05-01,175.800003,178.639999,174.009995,174.570007,171.772049,39370500,-0.7
2020-05-04,174.490005,179.000000,173.800003,178.839996,175.973587,30372900,2.49
2020-05-05,180.619995,183.649994,179.899994,180.759995,177.862808,36839200,0.08
2020-05-06,182.080002,184.199997,181.630005,182.539993,179.614288,32139300,0.25
2020-05-07,184.169998,184.550003,182.580002,183.600006,180.657303,28316000,-0.31
2020-05-08,184.979996,185.000000,183.360001,184.679993,181.719955,30877800,-0.16
2020-05-11,183.149994,187.509995,182.850006,186.740005,183.746964,30892700,1.96
2020-05-12,186.800003,187.039993,182.300003,182.509995,179.584778,32038200,-2.3
2020-05-13,182.550003,184.050003,176.539993,179.750000,176.869034,44711500,-1.53
2020-05-14,177.539993,180.690002,175.679993,180.529999,177.636505,41873900,1.68
2020-05-15,179.059998,187.059998,177.000000,183.160004,180.224350,46610400,2.29
2020-05-18,185.750000,186.199997,183.960007,184.910004,181.946304,35264500,-0.45
2020-05-19,185.029999,186.600006,183.490005,183.630005,180.686813,26799100,-0.76
2020-05-20,184.809998,185.850006,183.940002,185.660004,183.193069,31261300,0.46
2020-05-21,185.399994,186.669998,183.289993,183.429993,180.992691,29119500,-1.06
2020-05-22,183.190002,184.460007,182.539993,183.509995,181.071655,20826900,0.17
2020-05-26,186.339996,186.500000,181.100006,181.570007,179.157425,36073600,-2.56
2020-05-27,180.199997,181.990005,176.600006,181.809998,179.394241,39517100,0.89
2020-05-28,180.740005,184.149994,180.380005,181.399994,178.989639,33810200,0.37
2020-05-29,182.729996,184.270004,180.410004,183.250000,180.815094,42130400,0.28
2020-06-01,182.539993,183.000000,181.460007,182.830002,180.400665,22622400,0.16
2020-06-02,184.250000,185.000000,181.350006,184.910004,182.453033,30794600,0.36
2020-06-03,184.820007,185.940002,183.580002,185.360001,182.897049,27311000,0.29
2020-06-04,184.300003,185.839996,182.300003,182.919998,180.489487,28761800,-0.75
2020-06-05,182.619995,187.729996,182.009995,187.199997,184.712601,39893600,2.51
2020-06-08,185.940002,188.550003,184.440002,188.360001,185.857208,33211600,1.3
2020-06-09,188.000000,190.699997,187.259995,189.800003,187.278076,29783900,0.96
2020-06-10,191.130005,198.520004,191.009995,196.839996,194.224533,43872300,2.99
2020-06-11,193.130005,195.759995,186.070007,186.270004,183.794968,52854700,-3.55
2020-06-12,190.539993,191.720001,185.179993,187.740005,185.245438,43373600,-1.47
2020-06-15,184.580002,190.820007,184.009995,188.940002,186.429474,32770200,2.36
2020-06-16,192.889999,195.580002,191.460007,193.570007,190.997986,42556700,0.35
2020-06-17,195.029999,196.320007,193.690002,194.240005,191.659073,25687800,-0.41
2020-06-18,194.000000,196.490005,194.000000,196.320007,193.711441,23061600,1.2
2020-06-19,198.589996,199.289993,194.369995,195.149994,192.556961,44441100,-1.73
2020-06-22,195.789993,200.759995,195.229996,200.570007,197.904968,32818900,2.44
2020-06-23,202.089996,203.949997,201.429993,201.910004,199.227173,30917400,-0.09
2020-06-24,201.600006,203.250000,196.559998,197.839996,195.211227,36740600,-1.87
2020-06-25,197.800003,200.610001,195.470001,200.339996,197.678024,27803900,1.28
2020-06-26,199.729996,199.889999,194.880005,196.330002,193.721298,54675800,-1.7
2020-06-29,195.779999,198.529999,193.550003,198.440002,195.803253,26701600,1.36
2020-06-30,197.880005,204.399994,197.740005,203.509995,200.805878,34310300,2.85
2020-07-01,203.139999,206.350006,201.770004,204.699997,201.980072,32061200,0.77
2020-07-02,205.679993,208.020004,205.000000,206.259995,203.519348,29315800,0.28
2020-07-06,208.830002,211.130005,208.089996,210.699997,207.900345,31897600,0.9
2020-07-07,210.449997,214.669998,207.990005,208.250000,205.482910,33600700,-1.05
2020-07-08,210.070007,213.259995,208.690002,212.830002,210.002045,33600000,1.31
2020-07-09,216.330002,216.380005,211.470001,214.320007,211.472275,33121700,-0.93
2020-07-10,213.619995,214.080002,211.080002,213.669998,210.830902,26177600,0.02
2020-07-13,214.479996,215.800003,206.500000,207.070007,204.318573,38135600,-3.45
2020-07-14,206.130005,208.850006,202.029999,208.350006,205.581589,37591800,1.08
2020-07-15,209.559998,211.330002,205.029999,208.039993,205.275711,32179400,-0.73
2020-07-16,205.399994,205.699997,202.309998,203.919998,201.210449,29940700,-0.72
2020-07-17,204.470001,205.039993,201.389999,202.880005,200.184250,31635300,-0.78
2020-07-20,205.000000,212.300003,203.009995,211.600006,208.788422,36884800,3.22
2020-07-21,213.660004,213.940002,208.029999,208.750000,205.976273,37990400,-2.3
2020-07-22,209.199997,212.300003,208.389999,211.750000,208.936401,49605700,1.22
2020-07-23,207.190002,210.919998,202.149994,202.539993,199.848770,67457000,-2.24
2020-07-24,200.419998,202.860001,197.509995,201.300003,198.625259,39827000,0.44
2020-07-27,201.470001,203.970001,200.860001,203.850006,201.141373,30160900,1.18
2020-07-28,203.610001,204.699997,201.740005,202.020004,199.335693,23251400,-0.78
2020-07-29,202.500000,204.649994,202.009995,204.059998,201.348602,19632600,0.77
2020-07-30,201.000000,204.460007,199.570007,203.899994,201.190720,25079600,1.44
2020-07-31,204.399994,205.100006,199.009995,205.009995,202.285934,51044000,0.3
2020-08-03,211.520004,217.639999,210.440002,216.539993,213.662766,78983000,2.37
2020-08-04,214.169998,214.770004,210.309998,213.289993,210.455933,49280100,-0.41
2020-08-05,214.899994,215.000000,211.570007,212.940002,210.110596,28806400,-0.91
2020-08-06,212.339996,216.369995,211.550003,216.350006,213.475281,32656800,1.89
2020-08-07,214.850006,215.699997,210.929993,212.479996,209.656708,27820400,-1.1
2020-08-10,211.669998,211.880005,206.350006,208.250000,205.482910,36716500,-1.62
2020-08-11,207.160004,207.649994,203.139999,203.380005,200.677628,36446500,-1.82
2020-08-12,205.289993,210.279999,204.750000,209.190002,206.410431,28013100,1.9
2020-08-13,209.440002,211.350006,208.149994,208.699997,205.926926,22588900,-0.35
2020-08-14,208.759995,209.589996,207.509995,208.899994,206.124252,17958900,0.07
2020-08-17,209.600006,211.190002,208.919998,210.279999,207.485947,20184800,0.32
2020-08-18,210.529999,212.360001,209.210007,211.490005,208.679871,21336200,0.46
2020-08-19,211.490005,212.100006,209.250000,209.699997,207.413803,27627600,-0.85
2020-08-20,209.539993,215.000000,208.910004,214.580002,212.240631,26981500,2.41
2020-08-21,213.860001,216.250000,212.850006,213.020004,210.697632,36249300,-0.39
2020-08-24,214.789993,215.520004,212.429993,213.690002,211.360336,25460100,-0.51
2020-08-25,213.100006,216.610001,213.100006,216.470001,214.110016,23043700,1.58
2020-08-26,217.880005,222.089996,217.360001,221.149994,218.738983,39600800,1.5
2020-08-27,222.889999,231.149994,219.399994,226.580002,224.109802,57602200,1.66
2020-08-28,228.179993,230.639999,226.580002,228.910004,226.414398,26292900,0.32
